Año,Universidad,Carrera,H,M,Matricula
,,,,,
2015,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,7,9,16
2015,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN CONTADURÍA PÚBLICA,6,15,21
2015,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN DERECHO,1,7,8
2015,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN DERECHO Y CIENCIAS SOCIALES,12,18,30
2015,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN DISEÑO GRÁFICO,12,9,21
2015,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN PSICOLOGÍA,13,40,53
2015,"AS MEDIA CENTRO DE FORMACIÓN PROFESIONAL, A.C.",LICENCIATURA EN ASESORÍA DE IMAGEN,4,43,47
2015,"AS MEDIA CENTRO DE FORMACIÓN PROFESIONAL, A.C.",LICENCIATURA EN DISEÑO MULTIMEDIA,25,16,41
2015,"AS MEDIA CENTRO DE FORMACIÓN PROFESIONAL, A.C.",LICENCIATURA EN TELEVISIÓN,52,57,109
2015,"ATENEO UNIVERSITARIO EN HUMANIDADES Y CIENCIAS DE LA SALUD, A. C.",LICENCIATURA EN ENFERMERÍA,44,181,225
2015,"ATENEO UNIVERSITARIO EN HUMANIDADES Y CIENCIAS DE LA SALUD, A. C.",LICENCIATURA EN ODONTOLOGÍA,6,15,21
2015,"ATENEO UNIVERSITARIO EN HUMANIDADES Y CIENCIAS DE LA SALUD, A. C.",LICENCIATURA EN TERAPIA FÍSICA Y REHABILITACIÓN,36,49,85
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,CURSO COMPLEMENTARIO DE LA LICENCIATURA EN ENFERMERÍA,1,33,34
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA AGROFORESTAL,38,43,81
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA AGROINDUSTRIAL,36,28,64
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA AGRÓNOMO ZOOTECNISTA,70,40,110
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA AMBIENTAL,220,368,588
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA CIVIL,943,222,"1,165"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN AGROHIDRÁULICA,89,65,154
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN ALIMENTOS,151,358,509
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN CIENCIAS DE LA COMPUTACIÓN,"1,586",420,"2,006"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN GEOFÍSICA,145,94,239
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN MATERIALES,110,64,174
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN MECATRÓNICA,"1,017",184,"1,201"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN,324,100,424
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA INDUSTRIAL,678,399,"1,077"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA MECÁNICA Y ELÉCTRICA,916,86,"1,002"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA QUÍMICA,311,319,630
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA TEXTIL,57,65,122
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA TOPOGRÁFICA Y GEODÉSICA,145,62,207
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ACTUARIA,206,171,377
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,"1,348","1,893","3,241"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ADMINISTRACIÓN PÚBLICA Y CIENCIAS POLÍTICAS,379,332,711
