LICENCIATURA,TAREA,PESO,RIESGO_TAREA,,,,,,,,,,
Contaduría Pública y Auditoría,Comunicación efectiva,1,0.4,,,,,,,,,,
Contaduría Pública y Auditoría,Ética profesional,9,1,,,,,,,,,,
Contaduría Pública y Auditoría,Resolución de problemas no estructurados,7,0.8,,,,,,,,,,
Contaduría Pública y Auditoría,Capacidad de análisis financiero y normativo,9,0.6,,,,,,,,,,
Administración de Empresas (Generalista),Liderazgo transformacional,8,0.2,,,,,,,,,,
Administración de Empresas (Generalista),Pensamiento estratégico,1,0.2,,,,,,,,,,
Administración de Empresas (Generalista),Inteligencia emocional,8,0.2,,,,,,,,,,"LICENCIATURA,TAREA,PESO,RIESGO_TAREA"
Administración de Empresas (Generalista),Negociación,8,0.9,,,,,,,,,,
Administración de Empresas (Generalista),Comunicación persuasiva,3,0.6,,,,,,,,,,
Administración de Empresas (Generalista),Gestión del cambio,1,0.7,,,,,,,,,,
Derecho (Litigio Común y Tareas Documentales),Argumentación persuasiva,8,0.1,,,,,,,,,,
Derecho (Litigio Común y Tareas Documentales),Empatía,3,1,,,,,,,,,,
Derecho (Litigio Común y Tareas Documentales),Juicio ético,3,0.8,,,,,,,,,,
Derecho (Litigio Común y Tareas Documentales),Creatividad en soluciones legales,1,0.3,,,,,,,,,,
Derecho (Litigio Común y Tareas Documentales),Negociación y resolución de conflictos humanos,5,0.3,,,,,,,,,,
Periodismo y Comunicación,Investigación profunda,10,0.3,,,,,,,,,,
Periodismo y Comunicación,Narrativa emocional,7,0.4,,,,,,,,,,
Periodismo y Comunicación,Pensamiento crítico (verificación de hechos),10,0.6,,,,,,,,,,
Periodismo y Comunicación,Ética y empatía,9,0.5,,,,,,,,,,
Periodismo y Comunicación,Curaduría y estrategia de contenido,7,0.4,,,,,,,,,,
 Diseño Gráfico,Creatividad conceptual,9,0.7,,,,,,,,,,
 Diseño Gráfico,Visión artística,8,0.2,,,,,,,,,,
 Diseño Gráfico,Empatía con el cliente,2,0.4,,,,,,,,,,
 Diseño Gráfico,Resolución de problemas visuales,1,0.4,,,,,,,,,,
 Diseño Gráfico,Diseño de experiencias (UX/UI),7,0.5,,,,,,,,,,
Ingeniería en Sistemas / Computación / Software,Pensamiento analítico profundo,7,0.8,,,,,,,,,,
Ingeniería en Sistemas / Computación / Software,Creatividad para resolver problemas inéditos,8,0.3,,,,,,,,,,
Ingeniería en Sistemas / Computación / Software,Ética en desarrollo tecnológico,5,0.6,,,,,,,,,,
Ingeniería en Sistemas / Computación / Software,Colaboración multidisciplinaria,3,0.6,,,,,,,,,,
Ingeniería en Sistemas / Computación / Software,Aprendizaje continuo,8,0.1,,,,,,,,,,
 Ingeniería Industrial,Pensamiento sistémico,6,0.6,,,,,,,,,,
 Ingeniería Industrial,Gestión del cambio,3,0.3,,,,,,,,,,
 Ingeniería Industrial,Liderazgo en entornos automatizados,1,0.2,,,,,,,,,,
 Ingeniería Industrial,Integración tecnológica (IA e Industria 4.0),3,1,,,,,,,,,,
 Ingeniería Mecatrónica / Mecánica,Pensamiento sistémico,5,1,,,,,,,,,,
 Ingeniería Mecatrónica / Mecánica,Creatividad técnica,3,0.8,,,,,,,,,,
 Ingeniería Mecatrónica / Mecánica,Resolución de fallas complejas,1,0.4,,,,,,,,,,
 Ingeniería Mecatrónica / Mecánica,Colaboración en entornos técnicos,5,0.2,,,,,,,,,,
 Ingeniería Mecatrónica / Mecánica,Innovación en robótica,10,0.7,,,,,,,,,,
 Ingeniería Civil,Toma de decisiones en campo,7,0.5,,,,,,,,,,
 Ingeniería Civil,Resolución de problemas en condiciones variables,7,0.2,,,,,,,,,,
 Ingeniería Civil,Gestión de proyectos complejos,9,0.5,,,,,,,,,,
 Ingeniería Civil,Comunicación efectiva,10,0.1,,,,,,,,,,
 Ingeniería Civil,Liderazgo en infraestructura sostenible,10,0.9,,,,,,,,,,
 Psicología,Empatía,3,0.3,,,,,,,,,,
 Psicología,Diagnóstico complejo,7,0.7,,,,,,,,,,
 Psicología,Inteligencia emocional,1,0.4,,,,,,,,,,
 Psicología,Intervención en crisis,4,0.6,,,,,,,,,,
 Psicología,Diseño de entornos resilientes,4,0.6,,,,,,,,,,
